"date","geography","geography code","Communal establishment management and type: Total: All usual residents in communal establishments","Communal establishment management and type: Medical and care establishment","Communal establishment management and type: Medical and care establishment:NHS","Communal establishment management and type: Medical and care establishment: NHS: General hospital","Communal establishment management and type: Medical and care establishment: NHS: Mental health hospital or unit (including secure units)","Communal establishment management and type: Medical and care establishment: NHS: Other hospital","Communal establishment management and type: Medical and care establishment:Local Authority","Communal establishment management and type: Medical and care establishment: Local Authority: Children's home (including secure units)","Communal establishment management and type: Medical and care establishment: Local Authority: Care home with nursing","Communal establishment management and type: Medical and care establishment: Local Authority: Care home without nursing","Communal establishment management and type: Medical and care establishment: Local Authority: Other home","Communal establishment management and type: Medical and care establishment:Registered Social Landlord or Housing Association","Communal establishment management and type: Medical and care establishment: Registered Social Landlord or Housing Association: Home or hostel","Communal establishment management and type: Medical and care establishment:Other","Communal establishment management and type: Medical and care establishment: Other: Care home with nursing","Communal establishment management and type: Medical and care establishment: Other: Care home without nursing","Communal establishment management and type: Medical and care establishment: Other: Children's home (including secure units)","Communal establishment management and type: Medical and care establishment: Other: Mental health hospital or unit (including secure units)","Communal establishment management and type: Medical and care establishment: Other: Other hospital","Communal establishment management and type: Medical and care establishment: Other: Other establishment","Communal establishment management and type: Other establishment","Communal establishment management and type: Other establishment: Defence","Communal establishment management and type: Other establishment: Prison service","Communal establishment management and type: Other establishment: Approved premises (probation or bail hostel)","Communal establishment management and type: Other establishment: Detention centres and other detention","Communal establishment management and type: Other establishment: Education","Communal establishment management and type: Other establishment: Hotel, guest house, B&B or youth hostel","Communal establishment management and type: Other establishment: Hostel or temporary shelter for the homeless","Communal establishment management and type: Other establishment: Holiday accommodation","Communal establishment management and type: Other establishment: Other travel or temporary accommodation","Communal establishment management and type: Other establishment: Religious","Communal establishment management and type: Other establishment: Staff or worker accommodation or Other","Communal establishment management and type: Establishment not stated"
2021,"City of London 001","E02000001",211,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,94,27,85,0,0,0,1,2
2021,"Barking and Dagenham 001","E02000002",46,42,0,0,0,0,24,0,0,24,0,0,0,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2021,"Barking and Dagenham 002","E02000003",22,22,0,0,0,0,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Barking and Dagenham 003","E02000004",171,94,0,0,0,0,0,0,0,0,0,13,13,81,74,7,0,0,0,0,77,0,0,0,0,0,0,77,0,0,0,0,0
2021,"Barking and Dagenham 004","E02000005",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,"Barking and Dagenham 006","E02000007",110,61,0,0,0,0,0,0,0,0,0,0,0,61,61,0,0,0,0,0,44,0,0,0,0,0,0,44,0,0,0,0,5
2021,"Barking and Dagenham 007","E02000008",10,10,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Barking and Dagenham 008","E02000009",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,"Barking and Dagenham 009","E02000010",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,"Barking and Dagenham 010","E02000011",103,103,0,0,0,0,0,0,0,0,0,0,0,103,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
